OBJECTID_1,Código_do_Município,Nome_municipio,Pop_total,Total_Respiradores,Respiradores_100mil_hab_Ind,Total_Respiradores_SUS,Respiradores_SUS_100mil_hab_Ind
1,1100015,Alta Floresta D'Oeste,22945,0,0,0,0
2,1100023,Ariquemes,107863,49,45.4279966253488,45,41.7195887375652
3,1100031,Cabixi,5312,0,0,0,0
4,1100049,Cacoal,85359,58,67.9483124216544,53,62.0906992818566
5,1100056,Cerejeiras,16323,0,0,0,0
6,1100064,Colorado do Oeste,15882,2,12.5928724342022,2,12.5928724342022
7,1100072,Corumbiara,7391,0,0,0,0
8,1100080,Costa Marques,18331,0,0,0,0
9,1100098,Espigão D'Oeste,32374,3,9.26669549638599,1,3.08889849879533
10,1100106,Guajará-Mirim,46174,3,6.49716290553125,3,6.49716290553125
11,1100114,Jaru,51775,2,3.86286817962337,2,3.86286817962337
12,1100122,Ji-Paraná,128969,22,17.0583628623933,3,2.32614039032636
13,1100130,Machadinho D'Oeste,39991,1,2.50056262659098,1,2.50056262659098
14,1100148,Nova Brasilândia D'Oeste,20474,0,0,0,0
15,1100155,Ouro Preto do Oeste,36035,9,24.975718051894,1,2.77507978354378
16,1100189,Pimenta Bueno,36660,1,2.72776868521549,1,2.72776868521549
17,1100205,Porto Velho,529544,256,48.3434804284441,227,42.8670705361594
18,1100254,Presidente Médici,18986,0,0,0,0
19,1100262,Rio Crespo,3764,0,0,0,0
20,1100288,Rolim de Moura,55058,1,1.81626648261833,0,0
21,1100296,Santa Luzia D'Oeste,6495,0,0,0,0
22,1100304,Vilhena,99854,19,19.027780559617,14,14.0204698860336
23,1100320,São Miguel do Guaporé,23005,0,0,0,0
24,1100338,Nova Mamoré,30583,0,0,0,0
25,1100346,Alvorada D'Oeste,14411,0,0,0,0
26,1100379,Alto Alegre dos Parecis,13241,0,0,0,0
27,1100403,Alto Paraíso,21428,1,4.66679111442972,1,4.66679111442972
28,1100452,Buritis,39654,8,20.1745095072376,4,10.0872547536188
29,1100502,Novo Horizonte do Oeste,8538,0,0,0,0
30,1100601,Cacaulândia,6230,0,0,0,0
31,1100700,Campo Novo de Rondônia,14139,0,0,0,0
32,1100809,Candeias do Jamari,26693,0,0,0,0
33,1100908,Castanheiras,3052,0,0,0,0
34,1100924,Chupinguaia,11182,0,0,0,0
35,1100940,Cujubim,25215,0,0,0,0
36,1101005,Governador Jorge Teixeira,7767,1,12.8749839062701,1,12.8749839062701
37,1101104,Itapuã do Oeste,10458,0,0,0,0
38,1101203,Ministro Andreazza,9660,0,0,0,0
39,1101302,Mirante da Serra,10947,0,0,0,0
40,1101401,Monte Negro,15852,0,0,0,0
41,1101435,Nova União,6970,1,14.3472022955524,1,14.3472022955524
42,1101450,Parecis,6074,0,0,0,0
43,1101468,Pimenteiras do Oeste,2169,1,46.1041954817888,1,46.1041954817888
44,1101476,Primavera de Rondônia,2856,0,0,0,0
45,1101484,São Felipe D'Oeste,5172,0,0,0,0
46,1101492,São Francisco do Guaporé,20266,1,4.93437284121188,1,4.93437284121188
47,1101500,Seringueiras,11856,1,8.43454790823212,1,8.43454790823212
48,1101559,Teixeirópolis,4308,1,23.2126276694522,1,23.2126276694522
49,1101609,Theobroma,10444,0,0,0,0
50,1101708,Urupá,11467,0,0,0,0
51,1101757,Vale do Anari,11204,0,0,0,0
52,1101807,Vale do Paraíso,6825,1,14.6520146520147,1,14.6520146520147
53,1200013,Acrelândia,15256,0,0,0,0
54,1200054,Assis Brasil,7417,0,0,0,0
55,1200104,Brasiléia,26278,0,0,0,0
56,1200138,Bujari,10266,0,0,0,0
57,1200179,Capixaba,11733,0,0,0,0
58,1200203,Cruzeiro do Sul,88376,14,15.8414049063094,14,15.8414049063094
59,1200252,Epitaciolândia,18411,1,5.43153549508446,1,5.43153549508446
60,1200302,Feijó,34780,0,0,0,0
61,1200328,Jordão,8317,0,0,0,0
62,1200336,Mâncio Lima,18977,0,0,0,0
63,1200344,Manoel Urbano,9459,0,0,0,0
64,1200351,Marechal Thaumaturgo,18867,0,0,0,0
65,1200385,Plácido de Castro,19761,1,5.06047264814534,1,5.06047264814534
