Nome_municipio	Leitos_UTI_Total	Leitos_UTI_100mil_hab_Ind	Total_Enfermeiros	Enfermeiros_100mil_hab_Ind	Total_Medicos	Medicos_100mil_hab_Ind	Total_Respiradores	Respiradores_100mil_hab_Ind
Alta Floresta D'Oeste	0	0	22	95,88145565	21	91,52320767	0	0
Alto Alegre dos Parecis	0	0	12	90,6275961	6	45,31379805	0	0
Alto Paraíso	0	0	11	51,33470226	5	23,33395557	1	4,666791114
Alvorada D'Oeste	0	0	10	69,3914371	5	34,69571855	0	0
Ariquemes	19	17,61493747	92	85,29338142	162	150,1905195	49	45,42799663
Buritis	0	0	28	70,61078328	19	47,91446008	8	20,17450951
Cabixi	0	0	7	131,7771084	5	94,12650602	0	0
Cacaulândia	0	0	3	48,1540931	1	16,05136437	0	0
Cacoal	28	32,80263358	197	230,7899577	331	387,7739899	58	67,94831242
Campo Novo de Rondônia	0	0	10	70,72635971	5	35,36317986	0	0
Candeias do Jamari	0	0	17	63,68710898	11	41,20930581	0	0
Castanheiras	0	0	3	98,29619921	7	229,3577982	0	0
Cerejeiras	0	0	14	85,76854745	10	61,26324818	0	0
Chupinguaia	0	0	7	62,60060812	8	71,54355214	0	0
Colorado do Oeste	0	0	15	94,44654326	13	81,85367082	2	12,59287243
Corumbiara	0	0	10	135,2996888	5	67,64984441	0	0
Costa Marques	0	0	8	43,64191806	6	32,73143855	0	0
Cujubim	0	0	9	35,69303986	3	11,89767995	0	0
Espigão D'Oeste	0	0	23	71,04466547	25	77,22246247	3	9,266695496
Governador Jorge Teixeira	0	0	8	102,9998713	3	38,62495172	1	12,87498391
Guajará-Mirim	0	0	47	101,7888855	45	97,45744358	3	6,497162906
Itapuã do Oeste	0	0	9	86,05851979	6	57,37234653	0	0
Jaru	0	0	40	77,25736359	56	108,160309	2	3,86286818
Ji-Paraná	10	7,753801301	105	81,41491366	197	152,7498856	22	17,05836286
Machadinho D'Oeste	0	0	23	57,51294041	12	30,00675152	1	2,500562627
Ministro Andreazza	0	0	5	51,75983437	5	51,75983437	0	0
Mirante da Serra	0	0	8	73,07938248	5	45,67461405	0	0
Monte Negro	0	0	9	56,77517033	2	12,61670452	0	0
Nova Brasilândia D'Oeste	0	0	12	58,61092117	9	43,95819088	0	0
Nova Mamoré	0	0	16	52,3166465	9	29,42811366	0	0
Nova União	0	0	4	57,38880918	3	43,04160689	1	14,3472023
Novo Horizonte do Oeste	0	0	6	70,27406887	4	46,84937925	0	0
Ouro Preto do Oeste	0	0	18	49,9514361	41	113,7782711	9	24,97571805
Parecis	0	0	3	49,39084623	2	32,92723082	0	0
Pimenta Bueno	0	0	32	87,28859793	23	62,73867976	1	2,727768685
Pimenteiras do Oeste	0	0	6	276,6251729	2	92,20839096	1	46,10419548
Porto Velho	167	31,53656731	809	152,7729518	1191	224,910489	256	48,34348043
Presidente Médici	0	0	24	126,4089329	8	42,13631097	0	0
Primavera de Rondônia	0	0	2	70,0280112	1	35,0140056	0	0
Rio Crespo	0	0	5	132,837407	3	79,70244421	0	0
Rolim de Moura	0	0	41	74,46692579	41	74,46692579	1	1,816266483
Santa Luzia D'Oeste	0	0	8	123,1716705	7	107,7752117	0	0
São Felipe D'Oeste	0	0	4	77,33952049	4	77,33952049	0	0
São Francisco do Guaporé	0	0	18	88,81871114	15	74,01559262	1	4,934372841
São Miguel do Guaporé	0	0	11	47,81569224	5	21,73440556	0	0
Seringueiras	0	0	6	50,60728745	5	42,17273954	1	8,434547908
Teixeirópolis	0	0	3	69,63788301	3	69,63788301	1	23,21262767
Theobroma	0	0	7	67,02412869	2	19,14975105	0	0
Urupá	0	0	6	52,32406035	5	43,60338362	0	0
Vale do Anari	0	0	6	53,55230275	3	26,77615137	0	0
Vale do Paraíso	0	0	5	73,26007326	3	43,95604396	1	14,65201465
Vilhena	10	10,01462135	117	117,1710698	163	163,238328	19	19,02778056
